state_code,area_code,areatype_code,area_name
55,5500004,M,Western Wisconsin nonmetropolitan area
56,0016220,M,"Casper, WY"
56,0016940,M,"Cheyenne, WY"
56,5600000,S,Wyoming
56,5600006,M,Western Wyoming nonmetropolitan area
56,5600007,M,Eastern Wyoming nonmetropolitan area
66,6600000,S,Guam
72,0010380,M,"Aguadilla-Isabela, PR"
72,0011640,M,"Arecibo, PR"
72,0025020,M,"Guayama, PR"
72,0032420,M,"Mayaguez, PR"
72,0038660,M,"Ponce, PR"
72,0041900,M,"San German, PR"
72,0041980,M,"San Juan-Carolina-Caguas, PR"
72,7200000,S,Puerto Rico
72,7200006,M,Puerto Rico nonmetropolitan area
78,7800000,S,Virgin Islands
